"","EnvVar","NullDev","rho"
"1","ET","0.454 [0.377 0.531]","0.496 [0.473 0.519]"
"2","PET","0.33 [0.237 0.422]","0.376 [0.327 0.426]"
"3","NPP","0.417 [0.332 0.503]","0.597 [0.584 0.61]"
"4","MCM","0.499 [0.427 0.571]","0.457 [0.439 0.476]"
"5","MWM","0.394 [0.313 0.475]","0.407 [0.384 0.429]"
"6","TS","0.496 [0.42 0.572]","0.515 [0.487 0.542]"
"7","Log10.TAP","0.336 [0.246 0.425]","0.587 [0.556 0.619]"
"8","Log10.PDM","0.107 [0.041 0.173]","0.23 [0.169 0.292]"
"9","Log10.PWM","0.352 [0.273 0.432]","0.639 [0.631 0.648]"
"10","PS","0.067 [0.007 0.127]","0.176 [0.114 0.237]"
